,Born,Died,Occupation,Parent(s),name,Citizenship,Spouse(s),Institution,Field,School ortradition,Alma mater,Doctoraladvisor,Doctoralstudents,Influences,Awards,Nationality,Contributions,Known for,Preceded by,Alma mater,Profession,Website,Institutions,Fields,Notable work,Thesis,Prime Minister,Succeeded by,Political party,Other politicalaffiliations,Signature,Doctoral advisor,Doctoral students,Deputy,Secretary-General,Children,Education,Venerated in,Canonized,Major shrine,Feast,Attributes,Patronage,President,Era,Region,School,Notable students,Main interests,Notable ideas,Genre,Notable works,Notable awards,Spouse,Employer,Net worth,Relations,Nickname(s),Serving with,Constituency,Influenced,Premier,Other notable students,Governor,Resting place,Title,Successor,Nominated by,Majority,Parents,Known for,Appointed by,Date of birth,Place of birth,Knessets,2006–2015,2009–2011,Monarch,Governor General,Leader,Relatives,Disappeared,Status,Chair,Tradition or movement,Academic advisors,Residence,Allegiance,Service/branch,Years of service,Rank,Unit,Academicadvisors,Vice Chancellor,Bundestag Leader,Chancellor,Branch/service,Battles/wars,Other academic advisors,Discipline,School or tradition,Director,Origin,Genres,Occupation(s),Years active,Labels,Associated acts,Authority control ,Other names,First Deputy,Other notable students,Years active,GovernorGeneral,Sub-discipline,Family,Cause of death,Cause of death,Vice Premier,Cabinet,Religion,Denomination,Jurisprudence,Creed,Main interest(s),Notable idea(s),Vice President,Mother,Father,Predecessor,Board member of,Partner(s),House Speaker,Net worth,Pen name,Charges,Alias,Height,Weight,Added,Removed,Number,Motto,Formation,Founder,Type,Location,Revenue .mw-parser-output .nobold{font-weight:normal}(2018) ,Expenses (2018),Lieutenant Governor,Subject,First Mayor,Domestic partner,Hangul,Revised Romanization,McCune–Reischauer,Movement,Affiliation,Committees,General Manager,Church,Diocese,Appointed,In office,Consecration,Buried
711,"(1790-09-26)26 September 1790Compton, Berkshire, England",(1864-06-04)4 June 1864Kensington,,,Nassau_William_Senior,,,,Political economy,Classical economics,,,,Adam Smith,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,,,,,Andrew_Sentance,,,,,,,,,,,,,,,"Clare College, University of Cambridge  London School of Economics",Economist,www.andrewsentance.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mervyn King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,,,,,Brad_Setser,,,,Public economics,,"Harvard University (BA)Oxford University (MA, PhD)",,,,,American,,,,,,Brad W. Setser,Council on Foreign Relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,"(1903-07-14)14 July 1903Cambridge, England",3 March 1992(1992-03-03) (aged 88),,,G._L._S._Shackle,,,,,Post-Keynesian economics,,,,,,English,Kaleidics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715," (1945-10-22) October 22, 1945 (age 74)[1]Karachi, British India (present-day Pakistan)",,,,Anwar_Shaikh_(economist),,,New School for Social Research,"Heterodox economics, Macroeconomics, Marxian economics, crisis theory","Classical economics, Marxian economics, radical political economy",Stuyvesant High SchoolPrinceton UniversityColumbia University,Ronald Findlay,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716," (1946-11-25) November 25, 1946 (age 73)",,,,David_Shapiro_(economist),,,Pennsylvania State University,,,Princeton University,,,,,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,"Lloyd Stowell Shapley(1923-06-02)June 2, 1923Cambridge, Massachusetts, U.S.","March 12, 2016(2016-03-12) (aged 92)Tucson, Arizona, U.S.",,,Lloyd_Shapley,,,,,,Princeton UniversityHarvard University,,,John von NeumannMartin ShubikJon Folkman,Nobel Memorial Prize in Economic Sciences (2012)Golden Goose Award (2013)John von Neumann Theory Prize (1981),American,,"Shapley valueShapley–Shubik power indexstochastic gamesBondareva–Shapley theoremShapley–Folkman lemma
& theoremGale–Shapley algorithmpotential gamecore, kernel and nucleolus market gamesauthority distributionmulti-person utilitynon-atomic games",,,,,"University of California, Los AngelesRAND CorporationPrinceton University","Mathematics, economics",,,,,,,,Albert W. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martin ShubikJon Folkman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718," (1934-06-16) June 16, 1934 (age 85)Boston, Massachusetts, U.S.",,,,William_F._Sharpe,,,,,,"UCLA (BA, MA)",,,,Nobel Memorial Prize in Economic Sciences (1990),United States,,Capital asset pricing modelSharpe ratio,,,,,William F. Sharpe Associates Stanford University UC Irvine University of Washington 1961–68RAND Corporation,Economics,,,,,,,,Armen AlchianHarry Markowitz (unofficial),Howard Sosin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719," (1964-10-08) October 8, 1964 (age 55)Plymouth, England",,,,Neil_Shephard,,Heather Bell,,,,,,,,"Guy Medal in Silver, 2017  Richard Stone Prize, 2012",,,"auxiliary particle filter, realized variance, bipower variation",,,,scholar.harvard.edu/shephard/home,"London School of EconomicsNuffield College, OxfordHarvard University","econometrics, statistics, finance",,,,,,,,,,,,,University of YorkLondon School of Economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,,,,,Shouyong_Shi,,,,,,Huazhong University of Science and Technology,,,,,Canadian,,,,,,,The Pennsylvania State University,Economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,"Robert James Shiller (1946-03-29) March 29, 1946 (age 74)Detroit, Michigan, U.S.[1][2]",,,,Robert_Shiller,,,Yale University,Financial economicsBehavioral finance,New Keynesian economicsBehavioral economics,,Franco Modigliani,John Y. Campbell[3],John Maynard KeynesGeorge AkerlofIrving Fisher,Deutsche Bank Prize (2009) Nobel Memorial Prize in Economics (2013),American,"Irrational Exuberance, Case-Shiller index",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722," (1968-08-21) August 21, 1968 (age 51)[1]",,,,Robert_Shimer,,,University of Chicago,"Macroeconomics, labor economics",,MITOxford UniversityYale University,Olivier Blanchard[2]Daron Acemoglu[2],,,,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,,,,,Hyun-Song_Shin,,,Princeton University,"Economic theory, finance",Neoclassical economics,Oxford University,James Mirrlees,,,,South Korean,global games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,신현송,Shin Hyeon-song,Sin Hyŏn-song,,,,,,,,,,
724, (1960-12-24) 24 December 1960 (age 59),,,,Yongcheol_Shin,,,University of York,,,Michigan State University,Peter Schmidt,,,,South Korean-born British,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,19 February 1957 (1957-02-19) (age 63)Kollam,,"Academic, researcher and writer",,D_Shina,,K. Radhakrishnan,,,,,,,,,Indian,,,,,,,,,,,,,,,,,,,,"Sruthi. R. Krishnan, Ananth. R. Krishnan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982-present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726, (1949-09-27) 27 September 1949 (age 70),,,,Masaaki_Shirakawa,,,,,,,,,,,,,,Toshirō MutōKazumasa Iwata,University of TokyoUniversity of Chicago,,,,,,,Yasuo Fukuda,Kiyohiko Nishimura,,,,,,Hirohide YamaguchiKiyohiko Nishimura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727," (1961-02-20) February 20, 1961 (age 59)Moscow, Soviet Union",,,,Andrei_Shleifer,,,Harvard University  University of Chicago,Behavioral finance  Law and economics  Development economics,,MITHarvard University,Peter A. Diamond[1]Franklin M. Fisher[1],Sendhil MullainathanMatthew GentzkowJesse ShapiroEmily Oster,Lawrence Summers  Milton Friedman[2],John Bates Clark Medal (1999),Russian American,Legal origins theory  Big push model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,"St. Petersburg, Russia",,,,Artyom_Shneyerov,,,,,,"Northwestern University (Ph.D.)
Vanderbilt University (M.A.)

St. Petersburg Polytechnical University (B.S.)",,,,,Canadian,,"Game theory, Industrial organization, Econometrics",,,,,"Concordia University (Montreal, Quebec, Canada)",Economist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,"(1926-03-24)March 24, 1926New York City","August 22, 2018(2018-08-22) (aged 92)Branford, Connecticut",,,Martin_Shubik,,Julie Shubik (nee Kahn),Yale University,Economics,Game theory,Princeton University,Oskar Morgenstern,,,"American Economic Association Distinguished Fellow, 2010",American,,,,,,http://faculty.som.yale.edu/martinshubik/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,"Gorakhpur, India",,Islamic Economist and Islamic Finance Scholar[1],,Mohammad_Najatuallah_Siddiqui,,,,,,,,,,,,,,,,,http://www.siddiqi.com/mns/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,"(1838-05-31)31 May 1838Skipton, Yorkshire, England","28 August 1900(1900-08-28) (aged 62)Cambridge, Cambridgeshire, England",,,Henry_Sidgwick,,,,,,"Trinity College, Cambridge",,,,,,,,,,,,"Trinity College, Cambridge",,,,,,,,,,,,,,,,,,,,,,19th-century philosophy,Western philosophy,Utilitarianism,,"Ethics, political philosophy","Average and total utilitarianism, Ethical hedonism, ethical intuitionism, paradox of hedonism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,"(1939-10-12)October 12, 1939Buenos Aires, Argentina","September 1, 1968(1968-09-01) (aged 28)",,,Miguel_Sidrauski,,,Massachusetts Institute of Technology,Monetary economics,,University of Chicago,Hirofumi UzawaMilton Friedman,,Arnold Harberger,,Argentine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,"Aníbal António Cavaco Silva (1939-07-15) 15 July 1939 (age 80)Boliqueime, Portugal",,,,An%C3%ADbal_Cavaco_Silva,,Maria Alves (m. 1963),,,,,,,,,,,,António de Sousa Franco (Finance)Carlos Corrêa Gago (Planning),Technical University of LisbonUniversity of York,,Official website,,,,,Francisco Sá Carneiro,João Morais Leitão,Social Democratic Party,,,,,Eurico de Melo,,2,,,,,,,,António Ramalho EanesMário Soares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,"Herbert Alexander Simon(1916-06-15)June 15, 1916Milwaukee, Wisconsin, U.S.","February 9, 2001(2001-02-09) (aged 84)Pittsburgh, Pennsylvania, U.S.",,,Herbert_A._Simon,United States,Dorothea Isabel Pye[1] (m. 1939),,,,University of Chicago,,,"Richard T. Ely, John R. Commons, Henry George, Chester Barnard, Charles Merriam","
Member of the National Academy of Sciences (1967)
Turing Award (1975)
Nobel Prize in Economics (1978)
National Medal of Science (1986)
Harold Pender Award (1987)
von Neumann Theory Prize (1988)
APA Award for Distinguished Scientific Contributions to Psychology (1969)
ACM Fellow (1994)
IJCAI Award for Research Excellence (1995)
",,,Bounded rationalitySatisficing,,,,,Carnegie Mellon University,EconomicsArtificial intelligenceComputer sciencePolitical science,,,,,,,,Henry Schultz,Edward FeigenbaumAllen NewellRichard Waldinger[4]John MuthWilliam F. PoundsDavid Bree[5],,,3,,,,,,,,,,,,,,,,,,,,,,,,,"Daniel Kahneman, Amos Tversky, Gerd Gigerenzer, James March, Allen Newell, Philip E. Tetlock, Richard Thaler, John Muth, Oliver E. Williamson, Massimo Egidi, Vela Velupillai, Ha Joon Chang, William C. Wimsatt, Alok Bhargava, Nassim Nicholas Taleb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rudolf CarnapNicholas RashevskyHarold LasswellCharles Merriam[2]John R. Commons[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,"(1932-02-12)February 12, 1932Newark, New Jersey","February 8, 1998(1998-02-08) (aged 65)Chevy Chase, Maryland",,,Julian_Lincoln_Simon,,,University of MarylandCato InstituteUniversity of Illinois at Urbana-Champaign,Environmental economics,Chicago School of Economics,,,,"David Hume, Adam Smith, Friedrich Hayek, William James",,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,"Christopher Albert Sims (1942-10-21) October 21, 1942 (age 77)Washington, D.C.",,,,Christopher_A._Sims,,,Princeton UniversityYale UniversityUniversity of MinnesotaHarvard University,MacroeconomicsEconometricsTime series,,"Harvard University (AB, PhD)",Hendrik S. Houthakker,Lars Peter HansenHarald Uhlig[1],,Nobel Memorial Prize in Economic Sciences (2011),United States,Use of vector autoregression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,"(1910-11-29)29 November 1910Elberfeld, German Empire","26 February 2006(2006-02-26) (aged 95)Brighton, UK",,,Hans_Singer,,,,Development economics,Structuralist economics,,,,John Maynard Keynes,,German-British,Singer–Prebisch thesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738," (1932-09-26) 26 September 1932 (age 87)Gah, Punjab, British India (present-day Punjab, Pakistan)",,,,Manmohan_Singh,,Gursharan Kaur (m. 1958),,,,,,,,Padma Vibushan  Adam Smith Prize,,,,Ashok Mitra,"Panjab University (BA, MA)University of Cambridge (BA)University of Oxford (DPhil)",Economistacademicianbureaucratpolitician,,,,,,Rajiv Gandhi,R. M. Honavar,Indian National Congress,,,,,,,"Upinder, Daman, Amrit",,,,,,,,A. P. J. Abdul KalamPratibha PatilPranab Mukherjee,,,,,,,,,,,,,,,,Assam,,,,,,,,,,,,,,,,,,,,,,,,,,,"3 Motilal Nehru Marg, New Delhi[2][3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739," (1948-03-07) 7 March 1948 (age 72)Brake, North Rhine-Westphalia",,,,Hans-Werner_Sinn,,,Ifo Institute for Economic Research,Public Finance,Neoclassical economics,University of MannheimUniversity of Münster,,,,,German,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,"Mark Andrew Skousen (1947-10-19) October 19, 1947 (age 72)San Diego, California",,,,Mark_Skousen,,Jo Ann,,Economics,Austrian School of Economics,Brigham Young University (B.A.)Brigham Young University (M.A.)George Washington University (Ph.D.),,,Adam SmithKarl MarxJohn Maynard KeynesLudwig von MisesW. Cleon Skousen,,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,,,,,Margaret_Slade_(economist),American and Canadian,,,,,,,,,,,,,,"Vassar CollegeUniversity of California, BerkeleyGeorge Washington University",,,University of British Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Economics,,,,,,,,,,,,,,,Industrial Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742," (1951-07-14) July 14, 1951 (age 68)Newark, New Jersey, U.S.",,,,Joel_Slemrod,,,University of Michigan,Public economics,,Princeton University (BA)Harvard University (PhD),Martin Feldstein,,,"Daniel M. Holland Medal, National Tax Association (2012)[1]",,Tax havensCorporate tax,,,,,Joel Slemrod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,"Evgeny Evgenievich Slutsky(1880-04-07)7 April 1880Novoye, Yaroslavl Oblast, Russian Empire","10 March 1948(1948-03-10) (aged 67)Moscow, RSFSR, Soviet Union",,,Eugen_Slutsky,,,,,,Kiev University,,,,,,,Slutsky's theoremSlutsky equation,,,,,TsSUSteklov Institute of Mathematics,"Mathematics, economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,"c. 16 June [O.S. c. 5 June] 1723[1]Kirkcaldy, Fife, Scotland","17 July 1790(1790-07-17) (aged 67)Edinburgh, Scotland",,,Adam_Smith,,,,,,"University of GlasgowBalliol College, Oxford",,,,,Scottish,,,,,,,,,The Wealth of NationsThe Theory of Moral Sentiments,,,,,,,,,,,,,,,,,,,,,Western philosophy,Classical liberalism,,"Political philosophy, ethics, economics","Classical economics, modern free market, absolute advantage, division of labour, the ""invisible hand"", economic liberalism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,"Vernon Lomax Smith (1927-01-01) January 1, 1927 (age 93)Wichita, Kansas",,,,Vernon_L._Smith,,,,Experimental economics,New classical economics,Friends UniversityCalifornia Institute of Technology (BA)University of Kansas (MA)Harvard University (PhD),Wassily Leontief,,"Friedrich von Hayek, Richard S. Howey",Nobel Memorial Prize in Economic Sciences (2002),American,Combinatorial auctionExperimental economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746, (1950-10-14) 14 October 1950 (age 69)Vienna,,,,Dennis_Snower,,,Global Solutions Initiative,,,"Princeton UniversityNew College, Oxford",,,,,"American, German",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,"Robert Merton Solow (1924-08-23) August 23, 1924 (age 95)New York City New York, U.S.",,,,Robert_Solow,,,Massachusetts Institute of Technology,Macroeconomics,Neo-Keynesian economics,"Harvard University (AB, AM, PhD)",Wassily Leontief,Francis M. Bator[1]Alain Enthoven[2]Ronald W. Jones[3]Herbert Mohring[4]Ronald Findlay[5]George Perry[6]Harvey M. Wagner[7]Michael Intriligator[8]Arjun Kumar Sengupta[9]Peter Diamond[10]George Akerlof[11]Eytan Sheshinski [de][12]Joseph Stiglitz[13]Martin Weitzman[14]Robert J. Gordon[15]Robert Hall[16]William Nordhaus[17]Avinash Dixit[18]Ray Fair[19]Alan Blinder[20]Vittorio CorboRobert PindyckJeremy Siegel[21]Katsuhito Iwai[22]Meir Kohn [cz]Steven Shavell[23]Glenn Loury[24]Halbert White[25]Mario Baldassarri[26]Arnold KlingCharlie Bean[27],Paul Samuelson,John Bates Clark Medal (1961)Nobel Memorial Prize in Economic Sciences (1987)National Medal of Science (1999)Presidential Medal of Freedom (2014),,Exogenous growth model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mario Draghi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,"(1863-01-19)19 January 1863Ermsleben, Kingdom of Prussia","18 May 1941(1941-05-18) (aged 78)Berlin, Germany",,,Werner_Sombart,,,,,,,,,"Max Weber, Charles Darwin, Sigmund Freud, Freidrich Nietzsche, Karl Marx",,German,,"Coining the term ""late capitalism""",,,,,"University of Breslau, Handelshochschule Berlin, Friedrich-Wilhelms-Universität","Economics, sociology, history",,,,,,,,Gustav von SchmollerAdolph Wagner,Wassily LeontiefRichard Löwenthal,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Karl Polanyi, Joseph Schumpeter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,,,,,Hugo_F._Sonnenschein,,,,,,"Purdue University (PhD 1964)
University of Rochester (BA 1961)

",Stanley Reiter[1],"
Donald John Roberts
Salvador Barberà [es]
Dilip Abreu
Faruk Gül
Matthew O. Jackson
Vijay Krishna (economist)
Philip J. Reny
",,,,,,,,,,"
University of Chicago (1993-present)
University of Pennsylvania (1988-1991)
Princeton University (1976-1988) (1991-1993)
Northwestern University (1973-1976)
University of Massachusetts (1970-1973)
University of Minnesota (1964-1970)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750," (1930-06-30) June 30, 1930 (age 89)Gastonia, North Carolina, U.S.",,,,Thomas_Sowell,,Alma Jean Parr(m. 1964; div. 1975)Mary Ash (m. 1981),"Cornell UniversityBrandeis UniversityUrban InstituteUniversity of California, Los AngelesHoover Institution at Stanford University",Welfare economicseducationpoliticshistoryrace relationschild development,Chicago school of economics,Harvard University (BA)Columbia University (MA)University of Chicago (PhD),,,Friedrich HayekMilton FriedmanAdam SmithGeorge StiglerGary BeckerHenry HazlittEdmund Burke,Francis Boyer AwardNational Humanities MedalBradley PrizegetAbstract Int'l Book Award,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,United States Marine Corps,1951–1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
